Table Name,Column Name,Position,Data Description,Units,Sample Data,DataType,MaxLength,MSAccessDataType
BuildingOneLine.csv,Area of Conditioned Common Space_notes,122,Provides a description of the NULL values in the Area of Conditioned Common Space field,,,varchar,255,Char
BuildingOneLine.csv,Total Residential Floor Area,123,Total residential floor area within the building,Square feet,"9800; 
32530; 
34500; 
7400; 
7816; 
90125",decimal,9,Double
BuildingOneLine.csv,Total Residential Floor Area_notes,124,Provides a description of the NULL values in the Total Residential Floor Area field,,,varchar,255,Char
BuildingOneLine.csv,Total Non-Residential Floor Area,125,Total non-residential floor area within the building,Square feet,"29891; 
720; 
4000; 
17621; 
16800; 
18400",decimal,9,Double
BuildingOneLine.csv,Total Non-Residential Floor Area_notes,126,Provides a description of the NULL values in the Total Non-Residential Floor Area field,,,varchar,255,Char
BuildingOneLine.csv,Total Conditioned Area,127,Total floor area within the building,Square feet,"9800; 
38925; 
37500; 
7400; 
7816; 
60234",decimal,9,Double
BuildingOneLine.csv,Total Conditioned Area_notes,128,Provides a description of the NULL values in the Total Conditioned Area field,,,varchar,255,Char
BuildingOneLine.csv,Primary Heating System,129,The building's primary heating system,,"Electric Baseboard; 
Zonal Heat; 
Boiler; 
Mini-split HP; 
Air Source Heat Pump; 
Furnace",varchar,255,Char
BuildingOneLine.csv,Primary Heating Fuel,130,Fuel type for the primary heating system,,"Electric; 
Unknown; 
N/A; 
Natural Gas; 
Wood (cord); 
Electric",varchar,255,Char
BuildingOneLine.csv,Primary Cooling System,131,Building's primary cooling system,,"N/A; 
Mini-split HP; 
Packaged AC; 
Air Source Heat Pump; 
Unknown; 
Packaged HP",varchar,255,Char
BuildingOneLine.csv,Central Building Heat,132,Indicates that the building has a central heating system,,"N/A; 
Yes; 
N/A; 
Yes; 
N/A; 
Yes",varchar,255,Char
BuildingOneLine.csv,Common Area Primary Heating System,133,Building's primary heating system for building common areas,,"N/A; 
Furnace; 
Electric Baseboard; 
Zonal Heat; 
Mini-split HP; 
Boiler",varchar,255,Char
BuildingOneLine.csv,Common Area Primary Heating Fuel,134,Fuel type for the primary common area heating system,,"N/A; 
Electric; 
Natural Gas; 
Unknown; 
N/A; 
Electric",varchar,255,Char
BuildingOneLine.csv,Common Area Primary Cooling System,135,Building's primary cooling system for building common areas,,"N/A; 
Central AC; 
Packaged AC; 
Mini-split HP; 
N/A; 
Central AC",varchar,255,Char
BuildingOneLine.csv,Annual Residential Electric Usage (kWh),136,Annual building electric consumption attributed to residential end-uses,kWh,"4938.5; 
4793.2; 
2302.4; 
11118.8; 
4830.6; 
3197.2",decimal,9,Double
BuildingOneLine.csv,Annual Residential Electric Usage (kWh)_notes,137,Provides a description of the NULL values in the Annual Residential Electric Usage (kWh) field,,"N/A; 
N/A; 
N/A; 
N/A; 
N/A; 
N/A",varchar,255,Char
BuildingOneLine.csv,Annual Non-Residential Electric Usage (kWh),138,Annual building electric consumption attributed to non-residential end-uses,kWh,"23090.9; 
85058.4; 
5749.2; 
32415.4; 
26723; 
138143.7",decimal,9,Double
BuildingOneLine.csv,Annual Non-Residential Electric Usage (kWh)_notes,139,Provides a description of the NULL values in the Annual Non-Residential Electric Usage (kWh) field,,"N/A; 
N/A; 
N/A; 
N/A; 
N/A; 
N/A",varchar,255,Char
BuildingOneLine.csv,Annual Electric Usage (kWh),140,Normalized annual electric consumption (kWh),kWh,"98770.9; 
479317; 
108211.7; 
722719.6; 
67628; 
879230.4",decimal,9,Double
BuildingOneLine.csv,Annual Electric Usage (kWh)_notes,141,Provides a description of the NULL values in the Annual Electric Usage (kWh) field,,"N/A; 
N/A; 
N/A; 
N/A; 
N/A; 
N/A",varchar,255,Char
BuildingOneLine.csv,Annual Residential Gas Usage (Therms),142,Annual building gas consumption attributed to residential end-uses,therms,"315.5; 
316.7; 
213.5; 
349; 
355.9; 
701",decimal,9,Double
BuildingOneLine.csv,Annual Residential Gas Usage (Therms)_notes,143,Provides a description of the NULL values in the Annual Residential Gas Usage (Therms) field,,"N/A; 
N/A; 
N/A; 
N/A; 
N/A; 
N/A",varchar,255,Char
BuildingOneLine.csv,Annual Non-Residential Gas Usage (Therms),144,Annual building gas consumption attributed to non-residential end-uses,therms,"3222.8; 
4996.3; 
429.2; 
3222.8; 
4996.3; 
429.2",decimal,9,Double
BuildingOneLine.csv,Annual Non-Residential Gas Usage (Therms)_notes,145,Provides a description of the NULL values in the Annual Non-Residential Gas Usage (Therms) field,,"N/A; 
N/A; 
N/A; 
N/A; 
N/A; 
N/A",varchar,255,Char
BuildingOneLine.csv,Annual Gas Usage (Therms),146,Normalized annual gas consumption (therms),therms,"2524; 
3800.3; 
5784.3; 
2791.8; 
4271.3; 
52573.1",decimal,9,Double
BuildingOneLine.csv,Annual Gas Usage (Therms)_notes,147,Provides a description of the NULL values in the Annual Gas Usage (Therms) field,,"N/A; 
N/A; 
N/A; 
N/A; 
N/A; 
N/A",varchar,255,Char
BuildingOneLine.csv,Annual Residential Electric Usage (kBtu),148,"Annual building electric consumption attributed to residential end-uses, in kBtu (Conversion factor of 3.412 used to convert kWh to kBtu)",kBtu,"16850.3; 
16354.3; 
7855.7; 
37937.2; 
16481.9; 
10908.9",decimal,9,Double
BuildingOneLine.csv,Annual Residential Electric Usage (kBtu)_notes,149,Provides a description of the NULL values in the Annual Residential Electric Usage (kBtu) field,,"N/A; 
N/A; 
N/A; 
N/A; 
N/A; 
N/A",varchar,255,Char
BuildingOneLine.csv,Annual Non-Residential Electric Usage (kBtu),150,"Annual building electric consumption attributed to non-residential end-uses, in kBtu (Conversion factor of 3.412 used to convert kWh to kBtu)",kBtu,"78786.2; 
290219.1; 
19616.2; 
110601.2; 
91179; 
471346.2",decimal,9,Double
BuildingOneLine.csv,Annual Non-Residential Electric Usage (kBtu)_notes,151,Provides a description of the NULL values in the Annual Non-Residential Electric Usage (kBtu) field,,"N/A; 
N/A; 
N/A; 
N/A; 
N/A; 
N/A",varchar,255,Char
BuildingOneLine.csv,Annual Electric Usage (kBtu),152,"Annual building electric consumption, in kBtu (Conversion factor of 3.412 used to convert kWh to kBtu)",kBtu,"337006.2; 
1635429.5; 
369218.4; 
2465919.1; 
230746.8; 
2999934.2",decimal,9,Double
BuildingOneLine.csv,Annual Electric Usage (kBtu)_notes,153,Provides a description of the NULL values in the Annual Electric Usage (kBtu) field,,"N/A; 
N/A; 
N/A; 
N/A; 
N/A; 
N/A",varchar,255,Char
BuildingOneLine.csv,Annual Residential Gas Usage (kBtu),154,"Annual building gas consumption attributed to residential end-uses, in kBtu (Conversion factor of 100 used to convert Therms to kBtu)",kBtu,"31549.8; 
31669.4; 
21346.5; 
34897.1; 
35594.6; 
70097.5",decimal,9,Double
BuildingOneLine.csv,Annual Residential Gas Usage (kBtu)_notes,155,Provides a description of the NULL values in the Annual Residential Gas Usage (kBtu) field,,"N/A; 
N/A; 
N/A; 
N/A; 
N/A; 
N/A",varchar,255,Char
BuildingOneLine.csv,Annual Non-Residential Gas Usage (kBtu),156,"Annual building gas consumption attributed to non-residential end-uses, in kBtu (Conversion factor of 100 used to convert Therms to kBtu)",kBtu,"322277; 
499626.1; 
42922.4; 
322277; 
499626.1; 
42922.4",decimal,9,Double
BuildingOneLine.csv,Annual Non-Residential Gas Usage (kBtu)_notes,157,Provides a description of the NULL values in the Annual Non-Residential Gas Usage (kBtu) field,,"N/A; 
N/A; 
N/A; 
N/A; 
N/A; 
N/A",varchar,255,Char
BuildingOneLine.csv,Annual Gas Usage (kBtu),158,"Annual building gas consumption, in kBtu (Conversion factor of 100 used to convert Therms to kBtu)",kBtu,"252398.3; 
380033.2; 
578434.7; 
279176.5; 
427134.9; 
5257314.5",decimal,9,Double
BuildingOneLine.csv,Annual Gas Usage (kBtu)_notes,159,Provides a description of the NULL values in the Annual Gas Usage (kBtu) field,,"N/A; 
N/A; 
N/A; 
N/A; 
N/A; 
N/A",varchar,255,Char
Envelope_BuildingFenestration.csv,PK_Envelope_ID,1,#N/A,,"Envelope_00003361; 
Envelope_00003329; 
Envelope_00003269; 
Envelope_00003271; 
Envelope_00003272; 
Envelope_00003273",varchar,255,Char
Envelope_BuildingFenestration.csv,CK_SiteID,2,#N/A,,"BLDG_00001; 
BLDG_00002; 
BLDG_00003; 
BLDG_00004; 
BLDG_00005; 
BLDG_00010",varchar,255,Char
Envelope_BuildingFenestration.csv,Qty Windows Facing East,3,#N/A,,"103; 
45; 
18; 
31; 
33; 
25",int,4,Integer
Envelope_BuildingFenestration.csv,Qty Windows Facing East_notes,4,#N/A,,,varchar,255,Char
Envelope_BuildingFenestration.csv,Qty Windows Facing North,5,#N/A,,"20; 
27; 
6; 
16; 
36; 
22",int,4,Integer
Envelope_BuildingFenestration.csv,Qty Windows Facing North_notes,6,#N/A,,,varchar,255,Char
Envelope_BuildingFenestration.csv,Qty Windows Facing NorthEast,7,#N/A,,"8; 
13; 
12; 
18; 
15; 
4",int,4,Integer
Envelope_BuildingFenestration.csv,Qty Windows Facing NorthEast_notes,8,#N/A,,,varchar,255,Char
Envelope_BuildingFenestration.csv,Qty Windows Facing NorthWest,9,#N/A,,"8; 
4; 
10; 
15; 
13; 
16",int,4,Integer
Envelope_BuildingFenestration.csv,Qty Windows Facing NorthWest_notes,10,#N/A,,,varchar,255,Char
Envelope_BuildingFenestration.csv,Qty Windows Facing South,11,#N/A,,"20; 
23; 
6; 
16; 
21; 
12",int,4,Integer
Envelope_BuildingFenestration.csv,Qty Windows Facing South_notes,12,#N/A,,,varchar,255,Char
Envelope_BuildingFenestration.csv,Qty Windows Facing SouthEast,13,#N/A,,"7; 
2; 
25; 
1; 
4; 
10",int,4,Integer
Envelope_BuildingFenestration.csv,Qty Windows Facing SouthEast_notes,14,#N/A,,,varchar,255,Char
Envelope_BuildingFenestration.csv,Qty Windows Facing SouthWest,15,#N/A,,"4; 
6; 
5; 
18; 
24; 
72",int,4,Integer
Envelope_BuildingFenestration.csv,Qty Windows Facing SouthWest_notes,16,#N/A,,,varchar,255,Char
Envelope_BuildingFenestration.csv,Qty Windows Facing West,17,#N/A,,"112; 
45; 
28; 
23; 
36; 
30",int,4,Integer
Envelope_BuildingFenestration.csv,Qty Windows Facing West_notes,18,#N/A,,,varchar,255,Char
Envelope_BuildingFenestration.csv,Qty Total Windows,19,#N/A,,"40; 
265; 
102; 
32; 
58; 
111",int,4,Integer
Envelope_BuildingFenestration.csv,Pct Windows Facing East,20,#N/A,%,"0.389; 
0.441; 
0.31; 
0.279; 
0.205; 
0.268",decimal,9,Double
Envelope_BuildingFenestration.csv,Pct Windows Facing East_notes,21,#N/A,,,varchar,255,Char
Envelope_BuildingFenestration.csv,Pct Windows Facing North,22,#N/A,%,"0.5; 
0.102; 
0.059; 
0.103; 
0.324; 
0.25",decimal,9,Double
Envelope_BuildingFenestration.csv,Pct Windows Facing North_notes,23,#N/A,,,varchar,255,Char
Envelope_BuildingFenestration.csv,Pct Windows Facing NorthEast,24,#N/A,%,"0.296; 
0.684; 
0.667; 
0.409; 
0.254; 
0.087",decimal,9,Double
Envelope_BuildingFenestration.csv,Pct Windows Facing NorthEast_notes,25,#N/A,,,varchar,255,Char
Envelope_BuildingFenestration.csv,Pct Windows Facing NorthWest,26,#N/A,%,"0.296; 
0.091; 
0.169; 
0.087; 
0.083; 
0.448",decimal,9,Double
Envelope_BuildingFenestration.csv,Pct Windows Facing NorthWest_notes,27,#N/A,,,varchar,255,Char
Envelope_BuildingFenestration.csv,Pct Windows Facing South,28,#N/A,%,"0.5; 
0.087; 
0.059; 
0.103; 
0.189; 
0.136",decimal,9,Double
Envelope_BuildingFenestration.csv,Pct Windows Facing South_notes,29,#N/A,,,varchar,255,Char
Envelope_BuildingFenestration.csv,Pct Windows Facing SouthEast,30,#N/A,%,"0.259; 
0.049; 
0.362; 
0.056; 
0.091; 
0.169",decimal,9,Double
Envelope_BuildingFenestration.csv,Pct Windows Facing SouthEast_notes,31,#N/A,,,varchar,255,Char
Envelope_BuildingFenestration.csv,Pct Windows Facing SouthWest,32,#N/A,%,"0.148; 
0.316; 
0.278; 
0.409; 
0.091; 
0.407",decimal,9,Double
Envelope_BuildingFenestration.csv,Pct Windows Facing SouthWest_notes,33,#N/A,,,varchar,255,Char
Envelope_BuildingFenestration.csv,Pct Windows Facing West,34,#N/A,%,"0.423; 
0.441; 
0.483; 
0.207; 
0.409; 
0.244",decimal,9,Double
Envelope_BuildingFenestration.csv,Pct Windows Facing West_notes,35,#N/A,,,varchar,255,Char
Envelope_Ceiling.csv,PK_Envelope_ID,1,Envelope ID key. Each envelope has a unique value. ,,"Envelope_00000748; 
Envelope_00000630; 
Envelope_00000375; 
Envelope_00000377; 
Envelope_00000378; 
Envelope_00000379",varchar,255,Char
Envelope_Ceiling.csv,CK_SiteID,2,Site ID key. Each site has a unique value. This key can be used to map to other datasets,,"BLDG_00001; 
BLDG_00002; 
BLDG_00003; 
BLDG_00004; 
BLDG_00005; 
BLDG_00009",varchar,255,Char
Envelope_Ceiling.csv,Ceiling Type,3,Defines the ceiling type,,"Attic; 
Roof Deck; 
Sloped / Vaulted (no attic); 
Ceiling (Unknown); 
Ceiling; 
Other",varchar,255,Char
Envelope_Ceiling.csv,Ceiling Area,4,The square footage of the ceiling,Square feet,"4900; 
12975; 
12500; 
3700; 
544; 
1880",decimal,9,Double
Envelope_Ceiling.csv,Ceiling Area_notes,5,Provides a description of the NULL values in the Ceiling Area field,,"Unknown; 
Unknown; 
Unknown; 
Unknown; 
Unknown; 
Unknown",varchar,255,Char
Envelope_Ceiling.csv,Ceiling Accessible,6,Indicates whether the ceiling is accessible,,"No; 
Yes; 
Unknown; 
No; 
Yes; 
Unknown",varchar,255,Char
Envelope_Ceiling.csv,Ceiling Insulated,7,Indicates whether or not the ceiling is insulated,,"N/A; 
Unknown; 
Yes; 
No; 
N/A; 
Unknown",varchar,255,Char
Envelope_Ceiling.csv,Ceiling Insulation Type 1,8,The type of the first layer of insulation. Insulation layers are stacked perpendicular to the direction of heat transfer,,"N/A; 
Unknown; 
Blown cellulose; 
Blown Fiberglass; 
Fiberglass batts; 
Blown mineral wool",varchar,255,Char
Envelope_Ceiling.csv,Ceiling Insulation Thickness 1,9,The thickness of the first layer of insulation,Inches,"10; 
14; 
11; 
18; 
3.5; 
12",decimal,9,Double
Envelope_Ceiling.csv,Ceiling Insulation Thickness 1_notes,10,Provides a description of the NULL values in the Ceiling Insulation Thickness 1 field,,"N/A; 
Unknown; 
N/A; 
Unknown; 
N/A; 
Unknown",varchar,255,Char
Envelope_Ceiling.csv,Ceiling Insulation Condition 1,11,An estimation of the percent coverage of the first layer of insulation,%,"1; 
0.75; 
0.9; 
0.5; 
0.25; 
1",decimal,9,Double
Envelope_Ceiling.csv,Ceiling Insulation Condition 1_notes,12,Provides a description of the NULL values in the Ceiling Insulation Condition 1 field,,"N/A; 
Unknown; 
N/A; 
Unknown; 
N/A; 
Unknown",varchar,255,Char
Envelope_Ceiling.csv,Ceiling Insulation Type 2,13,The type of the second layer of insulation. Insulation layers are stacked perpendicular to the direction of heat transfer,,"N/A; 
Unknown; 
Blown mineral wool; 
Blown fiberglass; 
Blown cellulose; 
Fiberglass batts",varchar,255,Char
Envelope_Ceiling.csv,Ceiling Insulation Thickness 2,14,The thickness of the second layer of insulation,Inches,"1; 
7.5; 
5.5; 
3; 
3.5; 
2",decimal,9,Double
Envelope_Ceiling.csv,Ceiling Insulation Thickness 2_notes,15,Provides a description of the NULL values in the Ceiling Insulation Thickness 2 field,,"N/A; 
Unknown; 
N/A; 
Unknown; 
N/A; 
Unknown",varchar,255,Char
Envelope_Ceiling.csv,Ceiling Insulation Condition 2,16,An estimation of the percent coverage of the second layer of insulation,%,"0.75; 
0.9; 
1; 
0.5; 
0.25; 
0.75",decimal,9,Double
Envelope_Ceiling.csv,Ceiling Insulation Condition 2_notes,17,Provides a description of the NULL values in the Ceiling Insulation Condition 2 field,,"N/A; 
Unknown; 
N/A; 
Unknown; 
N/A; 
Unknown",varchar,255,Char
Envelope_Ceiling.csv,Ceiling Insulation Type 3,18,The type of the third layer of insulation. Insulation layers are stacked perpendicular to the direction of heat transfer,,"N/A; 
Unknown; 
Blown cellulose; 
Foil-faced polyiscyanurate foam board; 
Blown fiberglass; 
Fiberglass batts",varchar,255,Char
Envelope_Ceiling.csv,Ceiling Insulation Thickness 3,19,The thickness of the third layer of insulation,Inches,"1; 
10; 
3.5; 
3; 
24; 
1",decimal,9,Double
Envelope_Ceiling.csv,Ceiling Insulation Thickness 3_notes,20,Provides a description of the NULL values in the Ceiling Insulation Thickness 3 field,,"N/A; 
Unknown; 
N/A; 
Unknown; 
N/A; 
Unknown",varchar,255,Char
Envelope_Ceiling.csv,Ceiling Insulation Condition 3,21,An estimation of the percent coverage of the third layer of insulation,%,"0.75; 
1; 
0.25; 
0.75; 
1; 
0.25",decimal,9,Double
Envelope_Ceiling.csv,Ceiling Insulation Condition 3_notes,22,Provides a description of the NULL values in the Ceiling Insulation Condition 3 field,,"N/A; 
Unknown; 
N/A; 
Unknown; 
N/A; 
Unknown",varchar,255,Char
Envelope_Ceiling.csv,Type of Area Above Ceiling,23,"For an adiabatic ceiling, indicates the type of area above the ceiling",,"N/A; 
Unknown; 
Residential occupancy; 
N/A; 
Unknown; 
Residential occupancy",varchar,255,Char
Envelope_Ceiling.csv,Ceiling Insulation R-Value,26,Thermal resistance (R-value) of the component's insulation. Does not account for construction materials or insulation condition.,(F x square feet x hr) / BTU,"34.1667; 
39.55; 
31.075; 
61.38; 
9.8875; 
47.8333",decimal,9,Double
Envelope_Ceiling.csv,Ceiling Insulation R-Value_notes,27,Provides a description of the NULL values in the Ceiling Insulation R-Value field,,"Unknown; 
N/A; 
Unknown; 
N/A; 
Unknown; 
N/A",varchar,255,Char
Envelope_Ceiling.csv,Ceiling U-Value,28,"Thermal transmittance (U-value) of the component. Accounts for construction materials (framing, siding, etc.) and air films using a parallel paths heat transfer approach in accordance with the UA Methodology memo provided to NEEA. For entries where a U-value could not be calculated directly due to missing or unknown data (such as unknown insulation R-value), an average value is computed from like components based on homes in the same state and of a similar vintage.",BTU / (hr x F x square feet),#REF!,decimal,9,Double
Envelope_Ceiling.csv,Ceiling U-Value_notes,29,Provides a description of the NULL values in the Ceiling U-Value field. Identifies values that were estimated based on like components in similar homes.,,#REF!,varchar,255,Char
Envelope_Ceiling.csv,Ceiling Heat Loss Rate (UA),30,Total heat-loss rate for the ceiling entry,BTU / (hr x F),"319.91; 
328.07; 
552.05; 
93.55; 
15.92; 
13.75",decimal,9,Double
Envelope_Ceiling.csv,Ceiling Heat Loss Rate (UA)_notes,31,Provides a description of the NULL values in the Ceiling Heat Loss Rate (UA) field,,"Exclude; 
Exclude; 
Exclude; 
Exclude; 
Exclude; 
Exclude",varchar,255,Char
Envelope_Ceiling.csv,Ceiling Notes,32,Site specific notes pertaining to the ceiling,,"Attic not accessible. Unit inspected on first floor. Tenant unaware of roof construction or insulation situation.; 
N/A; 
Mirror of accessible attic; 
Could not access; 
Attic access is locked; 
No access.",varchar,1000,LongChar
Envelope_Construction.csv,PK_Envelope_ID,1,Envelope ID key. Each envelope has a unique value. ,,"Envelope_00003199; 
Envelope_00003094; 
Envelope_00002650; 
Envelope_00002657; 
Envelope_00002664; 
Envelope_00002653",varchar,255,Char
Envelope_Construction.csv,CK_SiteID,2,Site ID key. Each site has a unique value. This key can be used to map to other datasets,,"BLDG_00001; 
BLDG_00002; 
BLDG_00003; 
BLDG_00004; 
BLDG_00005; 
BLDG_00006",varchar,255,Char
Envelope_Construction.csv,Construction Type,3,Site construction type,,"Frame over concrete slab; 
Frame; 
Rigid frame (concrete or steel); 
Solid masonry; 
Unknown; 
Masonry (Basement)",varchar,255,Char
Envelope_Construction.csv,Framing Type,4,Type of Framing,,"Wood; 
Steel; 
Concrete; 
Masonry; 
Unknown; 
N/A",varchar,255,Char
Envelope_Construction.csv,Foundation Type,5,Describes the foundation type,,"Other; 
Mixed Crawlspace and Conditioned Basement; 
Mixed Conditioned Basement and Slab; 
Mixed Crawlspace and Room Over Garage; 
Mixed Crawlspace and Slab; 
Adiabatic Space Below",varchar,255,Char
Envelope_Construction.csv,Total Building Levels,6,Total number of floors above grade,,"N/A; 
1; 
1.5; 
3+; 
2; 
2.5",varchar,255,Char
Envelope_Construction.csv,Building Level,7,Number of floors in the building,,"1; 
2; 
3; 
4; 
5; 
1",int,4,Integer
Envelope_Construction.csv,Building Level_notes,8,Provides a description of the NULL values in the Building Level field,,,varchar,255,Char
Envelope_Construction.csv,Area,9,Building area (square feet),Square feet,"798; 
575; 
768; 
6052; 
5518; 
2574",decimal,9,Double
Envelope_Construction.csv,Area_notes,10,Provides a description of the NULL values in the Area field,,,varchar,255,Char
Envelope_Construction.csv,Average Height,11,Average ceiling height of the building level,Feet,"7.8; 
8; 
7; 
7.9; 
8.5; 
7.3",decimal,9,Double
Envelope_Construction.csv,Average Height_notes,12,Provides a description of the NULL values in the Average Height field,,,varchar,255,Char
Envelope_Construction.csv,Volume,13,Building volume (cubic feet),Cubic feet,"6224; 
4600; 
5376; 
8594; 
9350; 
10152",decimal,9,Double
Envelope_Construction.csv,Volume_notes,14,Provides a description of the NULL values in the Volume field,,,varchar,255,Char
Envelope_Floor_Foundation.csv,PK_Envelope_ID,1,Envelope ID key. Each envelope has a unique value. ,,"Envelope_00001538; 
Envelope_00001429; 
Envelope_00000983; 
Envelope_00000992; 
Envelope_00000999; 
Envelope_00001007",varchar,255,Char
Envelope_Floor_Foundation.csv,CK_SiteID,2,Site ID key. Each site has a unique value. This key can be used to map to other datasets,,"BLDG_00001; 
BLDG_00002; 
BLDG_00003; 
BLDG_00004; 
BLDG_00005; 
BLDG_00009",varchar,255,Char
Envelope_Floor_Foundation.csv,Floor Type,3,Defines the floor/foundation type,,"Slab; 
Crawlspace; 
Basement; 
Floor over other area; 
Cantilever; 
N/A",varchar,255,Char
Envelope_Floor_Foundation.csv,Floor Sub-Type,4,"For a crawlspace or basement, whether or not the area is conditioned",,"N/A; 
Unconditioned; 
Conditioned; 
Frame; 
Unknown; 
Other",varchar,255,Char
Envelope_Floor_Foundation.csv,Floor Area,5,"The area of the floor or foundation space, in square feet",Square feet,"4900; 
12975; 
12500; 
3700; 
2968; 
725",decimal,9,Double
Envelope_Floor_Foundation.csv,Floor Area_notes,6,Provides a description of the NULL values in the Floor Area field,,"Unknown; 
Unknown; 
Unknown; 
Unknown; 
Unknown; 
Unknown",varchar,255,Char
Envelope_Floor_Foundation.csv,Floor Perimeter,7,"The perimeter of the foundation floor, in linear feet",Feet,"298; 
860; 
600; 
324; 
304; 
158",decimal,9,Double
Envelope_Floor_Foundation.csv,Floor Perimeter_notes,8,Provides a description of the NULL values in the Floor Perimeter field,,"N/A; 
Unknown; 
N/A; 
Unknown; 
N/A; 
Unknown",varchar,255,Char
Envelope_Floor_Foundation.csv,Foundation Wall Area,,"The area of the foundation walls, in square feet. Collected directly for basement walls and estimated for crawlspace walls and garage walls (in the case of a floor over a garage). Additional details are provided in the UA methodology memo provided to NEEA.",Square feet,#REF!,decimal,9,Double
Envelope_Floor_Foundation.csv,Foundation Wall Area_notes,,Provides a description of the NULL values in the Foundation Wall Area field. Identifies estimated values.,,#REF!,varchar,255,Char
Envelope_Floor_Foundation.csv,Type of Area Below,9,"For a floor over other area, the type of space below the floor",,"N/A; 
Parking; 
Garage; 
Storage; 
Other; 
Residential Occupancy",varchar,255,Char
Envelope_Floor_Foundation.csv,Area Below Heated,10,"For a floor over other area, Indicates whether or not the area below the floor is heated",,"N/A; 
No; 
Unknown; 
Yes; 
N/A; 
No",varchar,255,Char
Envelope_Floor_Foundation.csv,Framing Type,11,Type of Framing,,"N/A; 
Unknown; 
Joist; 
Post and Beam; 
Other; 
N/A",varchar,255,Char
Envelope_Floor_Foundation.csv,Framing Size,12,Describes the dimensional size of the framing,Inches,"N/A; 
Unknown; 
2x12 or 4x12; 
2x8 or 4x8; 
2x6 or 4x6; 
2x10 or 4x10",varchar,255,Char
Envelope_Floor_Foundation.csv,Framing Spacing,13,The spacing of the framing,Inches,"16; 
24; 
18; 
48; 
144; 
12",int,4,Integer
Envelope_Floor_Foundation.csv,Framing Spacing_notes,14,Provides a description of the NULL values in the Framing Spacing field,,"N/A; 
Unknown; 
N/A; 
Unknown; 
N/A; 
Unknown",varchar,255,Char
Envelope_Floor_Foundation.csv,Crawlspace Vents Present,15,Indicates whether the crawlspace has vents,,"N/A; 
Yes; 
No; 
Unknown; 
N/A; 
Yes",varchar,255,Char
Envelope_Floor_Foundation.csv,Crawlspace Vents Blocked,16,Indicates whether the crawlspace vents are blocked,,"N/A; 
No; 
Yes; 
Unknown; 
N/A; 
No",varchar,255,Char
Envelope_Floor_Foundation.csv,Basement Percent Below Grade,17,The percent of the basement below grade,%,"0.5; 
0.6; 
1; 
0.4; 
0.9; 
0.25",decimal,9,Double
Envelope_Floor_Foundation.csv,Basement Percent Below Grade_notes,18,Provides a description of the NULL values in the Basement Percent Below Grade field,,"N/A; 
Unknown; 
N/A; 
Unknown; 
N/A; 
Unknown",varchar,255,Char
Envelope_Floor_Foundation.csv,Central Heating Equipment in Basement,19,Indicates whether or not the basement contains central heating equipment,,"N/A; 
No; 
Unknown; 
Yes; 
N/A; 
No",varchar,255,Char
Envelope_Floor_Foundation.csv,Ducting in Basement,20, Indicates whether or not there is ducting in the basement,,"N/A; 
No Exposed Ducts in Basement; 
Unknown; 
Uninsulated; 
Insulated; 
Partially insulated",varchar,255,Char
Envelope_Floor_Foundation.csv,Slab Heated,21,Indicates whether or not the slab is heated,,"Unknown; 
No; 
N/A; 
Yes; 
Unknown; 
No",varchar,255,Char
Envelope_Floor_Foundation.csv,Slab Insulated,22,Indicates whether or not the slab is insulated,,"Unknown; 
No; 
N/A; 
Yes; 
Unknown; 
No",varchar,255,Char
Envelope_Floor_Foundation.csv,Slab Insulation Position,23,The position of the slab insulation,,"Unknown; 
N/A; 
Complete; 
Perimeter; 
Unknown; 
N/A",varchar,255,Char
Envelope_Floor_Foundation.csv,Slab Insulation Type 1,24,The type of the first layer of slab insulation. Insulation layers are stacked perpendicular to the direction of heat transfer,,"Unknown; 
N/A; 
Expanded Polystyrene Foam Board; 
Expanded polystyrene foam board (white); 
Fiberglass batts; 
Extruded polystyrene foam board (pink or blue)",varchar,255,Char
Envelope_Floor_Foundation.csv,Slab Insulation Thickness 1,25,The thickness of the first layer of slab insulation,Inches,"2.5; 
2; 
10; 
5.5; 
4; 
2.5",decimal,9,Double
Envelope_Floor_Foundation.csv,Slab Insulation Thickness 1_notes,26,Provides a description of the NULL values in the Slab Insulation Thickness 1 field,,"Unknown; 
N/A; 
Unknown; 
N/A; 
Unknown; 
N/A",varchar,255,Char
Envelope_Floor_Foundation.csv,Slab Insulation Condition 1,27,An estimate of the percent coverage of the first layer of slab insulation,%,"1; 
0.9; 
1; 
0.9; 
1; 
0.9",decimal,9,Double
Envelope_Floor_Foundation.csv,Slab Insulation Condition 1_notes,28,Provides a description of the NULL values in the Slab Insulation Condition 1 field,,"Unknown; 
N/A; 
Unknown; 
N/A; 
Unknown; 
N/A",varchar,255,Char
Envelope_Floor_Foundation.csv,Slab Insulation Type 2,29,The type of the second layer of slab insulation. Insulation layers are stacked perpendicular to the direction of heat transfer,,"Unknown; 
N/A; 
Unknown; 
N/A; 
Unknown; 
N/A",varchar,255,Char
Envelope_Floor_Foundation.csv,Slab Insulation Thickness 2,30,The thickness of the second layer of slab insulation,Inches,,decimal,9,Double
Envelope_Floor_Foundation.csv,Slab Insulation Thickness 2_notes,31,Provides a description of the NULL values in the Slab Insulation Thickness 2 field,,"Unknown; 
N/A; 
Unknown; 
N/A; 
Unknown; 
N/A",varchar,255,Char
